date,material,demand,month,week,monsoon_flag,outage_count,maintenance_flag
2021-01-03,Transformer,41,1,53,0,4,0
2021-01-10,Transformer,25,1,1,0,0,1
2021-01-17,Transformer,30,1,2,0,2,0
2021-01-24,Transformer,17,1,3,0,1,0
2021-01-31,Transformer,35,1,4,0,1,0
2021-02-07,Transformer,28,2,5,0,1,0
2021-02-14,Transformer,24,2,6,0,0,0
2021-02-21,Transformer,32,2,7,0,0,0
2021-02-28,Transformer,35,2,8,0,1,0
2021-03-07,Transformer,29,3,9,0,2,0
2021-03-14,Transformer,47,3,10,0,6,0
2021-03-21,Transformer,31,3,11,0,1,1
2021-03-28,Transformer,35,3,12,0,1,0
2021-04-04,Transformer,28,4,13,0,0,1
2021-04-11,Transformer,41,4,14,0,2,1
2021-04-18,Transformer,37,4,15,0,1,0
2021-04-25,Transformer,22,4,16,0,0,1
2021-05-02,Transformer,34,5,17,0,0,0
2021-05-09,Transformer,39,5,18,0,3,0
2021-05-16,Transformer,36,5,19,0,4,0
2021-05-23,Transformer,27,5,20,0,0,0
2021-05-30,Transformer,33,5,21,0,3,0
2021-06-06,Transformer,48,6,22,1,2,0
2021-06-13,Transformer,50,6,23,1,2,1
2021-06-20,Transformer,44,6,24,1,3,0
2021-06-27,Transformer,35,6,25,1,2,0
2021-07-04,Transformer,40,7,26,1,1,0
2021-07-11,Transformer,39,7,27,1,2,0
2021-07-18,Transformer,42,7,28,1,3,0
2021-07-25,Transformer,44,7,29,1,0,0
2021-08-01,Transformer,42,8,30,1,2,0
2021-08-08,Transformer,39,8,31,1,2,0
2021-08-15,Transformer,29,8,32,1,2,1
2021-08-22,Transformer,25,8,33,1,0,0
2021-08-29,Transformer,33,8,34,1,1,0
2021-09-05,Transformer,23,9,35,1,1,0
2021-09-12,Transformer,27,9,36,1,1,0
2021-09-19,Transformer,40,9,37,1,4,0
2021-09-26,Transformer,40,9,38,1,4,1
2021-10-03,Transformer,16,10,39,0,0,0
2021-10-10,Transformer,17,10,40,0,2,0
2021-10-17,Transformer,10,10,41,0,2,1
2021-10-24,Transformer,18,10,42,0,1,1
2021-10-31,Transformer,19,10,43,0,2,0
2021-11-07,Transformer,19,11,44,0,1,1
2021-11-14,Transformer,23,11,45,0,4,0
2021-11-21,Transformer,19,11,46,0,2,0
2021-11-28,Transformer,30,11,47,0,4,1
2021-12-05,Transformer,19,12,48,0,1,0
2021-12-12,Transformer,21,12,49,0,1,0
2021-12-19,Transformer,28,12,50,0,2,1
2021-12-26,Transformer,30,12,51,0,2,1
2022-01-02,Transformer,40,1,52,0,5,0
2022-01-09,Transformer,30,1,1,0,2,0
2022-01-16,Transformer,16,1,2,0,1,0
2022-01-23,Transformer,28,1,3,0,1,0
2022-01-30,Transformer,27,1,4,0,2,0
2022-02-06,Transformer,32,2,5,0,1,0
2022-02-13,Transformer,26,2,6,0,3,1
2022-02-20,Transformer,34,2,7,0,2,0
2022-02-27,Transformer,31,2,8,0,0,1
2022-03-06,Transformer,36,3,9,0,1,0
2022-03-13,Transformer,37,3,10,0,2,0
2022-03-20,Transformer,44,3,11,0,2,0
2022-03-27,Transformer,35,3,12,0,1,0
2022-04-03,Transformer,37,4,13,0,1,0
2022-04-10,Transformer,41,4,14,0,1,0
2022-04-17,Transformer,26,4,15,0,1,0
2022-04-24,Transformer,40,4,16,0,4,0
2022-05-01,Transformer,38,5,17,0,3,0
2022-05-08,Transformer,35,5,18,0,3,1
2022-05-15,Transformer,35,5,19,0,2,1
2022-05-22,Transformer,34,5,20,0,1,0
2022-05-29,Transformer,36,5,21,0,3,1
2022-06-05,Transformer,51,6,22,1,3,1
2022-06-12,Transformer,50,6,23,1,4,1
2022-06-19,Transformer,45,6,24,1,2,1
2022-06-26,Transformer,48,6,25,1,4,0
2022-07-03,Transformer,47,7,26,1,4,0
2022-07-10,Transformer,39,7,27,1,3,0
2022-07-17,Transformer,36,7,28,1,2,0
2022-07-24,Transformer,38,7,29,1,2,0
2022-07-31,Transformer,36,7,30,1,3,1
2022-08-07,Transformer,40,8,31,1,4,0
2022-08-14,Transformer,30,8,32,1,0,0
2022-08-21,Transformer,35,8,33,1,4,1
2022-08-28,Transformer,34,8,34,1,2,1
2022-09-04,Transformer,26,9,35,1,0,0
2022-09-11,Transformer,42,9,36,1,4,0
2022-09-18,Transformer,26,9,37,1,0,0
2022-09-25,Transformer,26,9,38,1,4,0
2022-10-02,Transformer,10,10,39,0,1,1
2022-10-09,Transformer,15,10,40,0,3,1
2022-10-16,Transformer,28,10,41,0,5,1
2022-10-23,Transformer,20,10,42,0,1,0
2022-10-30,Transformer,15,10,43,0,2,0
2022-11-06,Transformer,24,11,44,0,4,0
2022-11-13,Transformer,25,11,45,0,4,0
2022-11-20,Transformer,12,11,46,0,2,0
2022-11-27,Transformer,21,11,47,0,0,0
2022-12-04,Transformer,26,12,48,0,4,0
2022-12-11,Transformer,21,12,49,0,0,0
2022-12-18,Transformer,18,12,50,0,3,0
2022-12-25,Transformer,35,12,51,0,3,1
